ticker,as_of,price,category,gross_margin,fcf_margin,roa,roe,roic,gross_margin_yoy,revenue_growth_yoy,fcf_yield,pe_ttm,ps_ttm,p_fcf,ev_ebit,debt_to_equity,net_debt_to_market_cap,revenue_ttm,net_income_ttm,fcf_ttm,market_cap,score_quality,score_value,score_greenblatt,score_armata_v1,fwd_3m,fwd_6m,fwd_12m
TSLA,2021-01-01,245.0366668701172,growth,,,,,,,,,,,,,,,,,,,,,,,-0.05916124214858176,-0.10274652598466272,0.5638339362351539
MSTR,2021-01-01,42.862998962402344,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.6437953920328421,0.4798078153637708,0.28565428872443355
MARA,2021-01-01,13.59000015258789,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,2.859455494778019,1.186902058841775,1.511405495578011
GOOG,2021-01-01,86.33717346191406,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.27791646555711336,0.4908323204952536,0.6590826788693847
META,2021-01-01,268.860107421875,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.13023586357696848,0.30191538986116706,0.24194563727978458
NVDA,2021-01-01,13.366435050964355,growth,,,,,,,,,,,,,,,,,,,,,,,0.034430760368195035,0.5450038503186743,1.1869548934435992
AAPL,2021-01-01,127.41275024414062,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.03519876715573733,0.0875036316834652,0.3801069014320988
MSFT,2021-01-01,208.60757446289062,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.1401140461635486,0.28013826916023965,0.5225695335910117
AMZN,2021-01-01,160.92550659179688,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.0016497550731462418,0.14206260061476828,0.04099099466415779
PYPL,2021-01-01,233.66075134277344,fintech,,,,,,,,,,,,,,,,,,,,,,,0.07781702716305183,0.24575367733609532,-0.18632667743777243
SHOP,2021-01-01,111.8740005493164,growth,,,,,,,,,,,,,,,,,,,,,,,0.033430447158460774,0.37478764520103547,0.09217509349203246
PLTR,2021-01-01,23.549999237060547,growth,,,,,,,,,,,,,,,,,,,,,,,-0.020382146827459535,0.03779198835796471,-0.22675160618198031
ORCL,2021-01-01,58.36699295043945,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.1843111332482863,0.33034843110613554,0.4327969890246479
TSLA,2021-04-01,230.5399932861328,growth,,,,,,,,,,,,,,,,,,,,,,,-0.04632598675634503,0.12863998807572008,0.5778317732687108
MSTR,2021-04-01,70.45800018310547,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.09976155029019262,-0.07603114258677601,-0.3084106770808801
MARA,2021-04-01,52.45000076293945,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.4333651309619372,-0.2909437924548708,-0.49933270072634894
GOOG,2021-04-01,110.33169555664062,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.16661171577073186,0.22420020861056567,0.26812459875934525
META,2021-04-01,303.8753356933594,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.15189707902284,0.08718070313024895,-0.24299617962021558
NVDA,2021-04-01,13.826651573181152,growth,,,,,,,,,,,,,,,,,,,,,,,0.4935787966791958,0.4759798997054481,0.8720275728973648
AAPL,2021-04-01,122.927978515625,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.12717894076220482,0.1216340243449523,0.3952973905341073
MSFT,2021-04-01,237.83642578125,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.12281597921529741,0.16993839934796307,0.26447297105867706
AMZN,2021-04-01,161.1909942626953,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.14018158026841254,-0.0008746841694377006,0.01776773216261973
PYPL,2021-04-01,251.84353637695312,fintech,,,,,,,,,,,,,,,,,,,,,,,0.15581183627714035,0.027489185279110595,-0.5353291990253997
SHOP,2021-04-01,115.61399841308594,growth,,,,,,,,,,,,,,,,,,,,,,,0.33031463218562673,0.14006954578527653,-0.39201134134516336
PLTR,2021-04-01,23.06999969482422,growth,,,,,,,,,,,,,,,,,,,,,,,0.05938451917451726,0.05461639555914344,-0.40052015142380637
ORCL,2021-04-01,69.12467956542969,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.12330990882210435,0.24158312463922327,0.1336649628986204
TSLA,2021-07-01,219.86000061035156,growth,,,,,,,,,,,,,,,,,,,,,,,0.18346518034707393,0.7429120995617593,0.060068520887835763
COIN,2021-07-01,240.72000122070312,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.039755763026291024,0.048396451634291626,-0.7962778303969631
MSTR,2021-07-01,63.42900085449219,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.02636013570745188,-0.13120185244569071,-0.7041101168832512
MARA,2021-07-01,29.719999313354492,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.251345877723419,0.14838498844712755,-0.7957604201917373
GOOG,2021-07-01,128.71424865722656,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.04936389036843103,0.11285666138378225,-0.12240011371103532
META,2021-07-01,350.0331115722656,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.05618242903045667,-0.04606271117801097,-0.5232439558025211
NVDA,2021-07-01,20.651193618774414,growth,,,,,,,,,,,,,,,,,,,,,,,-0.0117830388412562,0.4155012578075552,-0.2765570477168878
AAPL,2021-07-01,138.56182861328125,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.004919286740313722,0.2690595794109498,0.0024557340177966402
MSFT,2021-07-01,267.0465393066406,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.041968070462978346,0.1893789680936615,-0.0456086858689726
AMZN,2021-07-01,183.78700256347656,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.12371386003678808,-0.08849918200298634,-0.3824372865496882
PYPL,2021-07-01,291.083740234375,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.11102382496043295,-0.34684252804922333,-0.7457626843213712
SHOP,2021-07-01,153.80299377441406,growth,,,,,,,,,,,,,,,,,,,,,,,-0.14300758767705135,-0.20556814915781163,-0.7789379831587122
PLTR,2021-07-01,24.440000534057617,growth,,,,,,,,,,,,,,,,,,,,,,,-0.004500843205722305,-0.2549100373751356,-0.6207037538789844
ORCL,2021-07-01,77.6484375,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.10528992479122645,0.07700881627930367,-0.12059510278322771
TSLA,2021-10-01,260.1966552734375,growth,,,,,,,,,,,,,,,,,,,,,,,0.47271937400863506,0.397993859812501,-0.04134047311533351
COIN,2021-10-01,231.14999389648438,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.09180186796892609,-0.19117451157020893,-0.7210036791406969
HOOD,2021-10-01,41.900001525878906,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.5761336615247463,-0.6778043076761722,-0.7589498803423286
MSTR,2021-10-01,65.10099792480469,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.15351530390893242,-0.25150147932981426,-0.6179167548545527
MARA,2021-10-01,37.189998626708984,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.08228012023630815,-0.29389617643001154,-0.6536703256237605
GOOG,2021-10-01,135.06808471679688,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.060505961371568384,0.03588007079220534,-0.24796397848940022
META,2021-10-01,330.3674011230469,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.010722112157808494,-0.30370009493344363,-0.5786881116299796
NVDA,2021-10-01,20.407859802246094,growth,,,,,,,,,,,,,,,,,,,,,,,0.4323790356196626,0.2683286359597128,-0.3556523536028837
AAPL,2021-10-01,137.8802032470703,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.2753333096505943,0.24398632731293768,0.041164584300978024
MSFT,2021-10-01,278.25396728515625,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.14147352669375346,0.08080303353014195,-0.13088964408840442
AMZN,2021-10-01,161.0500030517578,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.04018627755002502,0.018658736833787604,-0.24812173832138917
PYPL,2021-10-01,258.7665100097656,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.2652699922788082,-0.5477608838789135,-0.6433211573508588
SHOP,2021-10-01,131.80799865722656,growth,,,,,,,,,,,,,,,,,,,,,,,-0.07300013463501354,-0.4667091486633337,-0.7607884118729328
PLTR,2021-10-01,24.329999923706055,growth,,,,,,,,,,,,,,,,,,,,,,,-0.25154134231091163,-0.43156596929411717,-0.6658446305000021
ORCL,2021-10-01,85.82403564453125,enterprise,,,,,,,,,,,,,,,,,,,,,,,-0.02558704994733818,-0.08691980391724585,-0.2707477415138311
TSLA,2022-01-01,383.1966552734375,growth,,,,,,,,,,,,,,,,,,,,,,,-0.05073981881065148,-0.39178314204463827,-0.7178994206069356
COIN,2022-01-01,252.3699951171875,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.2591829047385261,-0.8056821259882511,-0.8597693859239679
HOOD,2022-01-01,17.760000228881836,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.2398648746610993,-0.539414403166886,-0.5416666532421973
MSTR,2022-01-01,55.106998443603516,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.11575658233795183,-0.6594262039465819,-0.7368392352219502
MARA,2022-01-01,34.130001068115234,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.23058894207259995,-0.822150601180846,-0.9003808968953194
GOOG,2022-01-01,143.24050903320312,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.023220888402658457,-0.21139899077594348,-0.3788798507788623
META,2022-01-01,333.9096374511719,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.3110867005966521,-0.5002228660269463,-0.6293346345504398
NVDA,2022-01-01,29.23179054260254,growth,,,,,,,,,,,,,,,,,,,,,,,-0.11453002004387747,-0.48891394600126314,-0.5108096260983955
AAPL,2022-01-01,175.8432159423828,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.02457944295851955,-0.21007984945584723,-0.29996725980537586
MSFT,2022-01-01,317.6195373535156,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.05315102956381479,-0.1975717246280827,-0.2649923513779193
AMZN,2022-01-01,167.52200317382812,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.020695851484353045,-0.32247706062691084,-0.4877090885441857
PYPL,2022-01-01,190.12351989746094,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.3844825835768806,-0.6107564766589875,-0.6098147783274953
SHOP,2022-01-01,122.18599700927734,growth,,,,,,,,,,,,,,,,,,,,,,,-0.42471312967592023,-0.7217357075916118,-0.7079861753514467
PLTR,2022-01-01,18.209999084472656,growth,,,,,,,,,,,,,,,,,,,,,,,-0.24052714887291504,-0.4909389937494265,-0.6474464360754326
ORCL,2022-01-01,83.6280517578125,enterprise,,,,,,,,,,,,,,,,,,,,,,,-0.06294328699817975,-0.1834747460519267,-0.04128061134376815
TSLA,2022-04-01,363.7533264160156,growth,,,,,,,,,,,,,,,,,,,,,,,-0.35927275787201596,-0.3142605597615129,-0.47057528317746367
COIN,2022-04-01,186.9600067138672,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.7376979078173623,-0.6550599296753974,-0.6385858083636214
HOOD,2022-04-01,13.5,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.39407405146846064,-0.25185182359483504,-0.28074073791503906
MSTR,2022-04-01,48.72800064086914,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.6148415817966733,-0.48953373374293363,-0.386430792892269
MARA,2022-04-01,26.260000228881836,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.768849957396979,-0.5095201827045317,-0.6759329720217525
GOOG,2022-04-01,139.91433715820312,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.19265164471581975,-0.2740124627212216,-0.25480117294146876
META,2022-04-01,230.0347900390625,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.2745427698871551,-0.3949275516133397,-0.0738440230412668
NVDA,2022-04-01,25.883872985839844,growth,,,,,,,,,,,,,,,,,,,,,,,-0.42280815209109335,-0.4919710648103799,0.05968356308974898
AAPL,2022-04-01,171.52108764648438,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.19017479707415996,-0.1630417783208784,-0.04813605003057608
MSFT,2022-04-01,300.73773193359375,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.152527699320133,-0.1958661023804783,-0.06717276667667216
AMZN,2022-04-01,164.05499267578125,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.30815881827925906,-0.2618938664232031,-0.36637102441815605
PYPL,2022-04-01,117.02433776855469,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.3676157441604567,-0.21130475022058703,-0.36030595723968284
SHOP,2022-04-01,70.29199981689453,growth,,,,,,,,,,,,,,,,,,,,,,,-0.516303418759354,-0.5514425429810101,-0.3229670477926887
PLTR,2022-04-01,13.829999923706055,growth,,,,,,,,,,,,,,,,,,,,,,,-0.32971796754142213,-0.41214749390524186,-0.3890094102762097
ORCL,2022-04-01,78.36422729492188,enterprise,,,,,,,,,,,,,,,,,,,,,,,-0.12862770991483496,-0.20132726389777555,0.15305418291411566
TSLA,2022-07-01,233.06666564941406,growth,,,,,,,,,,,,,,,,,,,,,,,0.07025173139354668,-0.5361842150488891,0.2006007231644722
COIN,2022-07-01,49.040000915527344,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.3150488715294928,-0.2783442347277151,0.4590130855626313
HOOD,2022-07-01,8.180000305175781,fintech,,,,,,,,,,,,,,,,,,,,,,,0.23471882697597124,-0.00488997070424535,0.2200487982771373
MSTR,2022-07-01,18.76799964904785,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.32534106001959184,-0.22730178355596742,1.0132140400293217
MARA,2022-07-01,6.070000171661377,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,1.121910996736533,-0.4398682044127782,1.5238878519884933
GOOG,2022-07-01,112.95960998535156,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.10077535610605592,-0.21237718192589117,0.05859308778251182
META,2022-07-01,166.88040161132812,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.16594332061100114,-0.25833868688049033,0.7005767932737137
NVDA,2022-07-01,14.939960479736328,growth,,,,,,,,,,,,,,,,,,,,,,,-0.11982655848285972,-0.04284147439716002,1.8366789474369583
AAPL,2022-07-01,138.902099609375,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.033504784310554925,-0.11379303374854777,0.36768303239516076
MSFT,2022-07-01,254.8668975830078,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.05113843015940234,-0.08402075153519228,0.29829586461846236
AMZN,2022-07-01,113.5,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.0668722144307543,-0.24387665467115227,0.14731278608549014
PYPL,2022-07-01,74.00434875488281,fintech,,,,,,,,,,,,,,,,,,,,,,,0.24717723835858885,0.0024193037906172776,-0.08467759145508535
SHOP,2022-07-01,34.0,growth,,,,,,,,,,,,,,,,,,,,,,,-0.07264703862807331,0.049411773681640625,0.9073528962976791
PLTR,2022-07-01,9.270000457763672,growth,,,,,,,,,,,,,,,,,,,,,,,-0.1229773772414432,-0.30744339166486634,0.65372159295495
ORCL,2022-07-01,68.28441619873047,enterprise,,,,,,,,,,,,,,,,,,,,,,,-0.08343110609569082,0.17414542173756375,0.6560566692830028
TSLA,2022-10-01,249.44000244140625,growth,,,,,,,,,,,,,,,,,,,,,,,-0.566629259877778,-0.22795060958078706,-0.011666146703125269
COIN,2022-10-01,64.48999786376953,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.4512327405498251,0.04775937250860163,0.16421157261713315
HOOD,2022-10-01,10.100000381469727,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.1940594023880382,-0.03861389392007153,-0.02871286642573645
MSTR,2022-10-01,24.874000549316406,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.4169816059025515,0.2019779712509795,0.2516281552072901
MARA,2022-10-01,12.880000114440918,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.7360248396616559,-0.3392857023859406,-0.4332298038918353
GOOG,2022-10-01,101.57606506347656,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.12410894939062378,0.026462285911632355,0.30163083686689074
META,2022-10-01,139.18771362304688,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.11077828228313558,0.5306530307704418,1.1452810989402757
NVDA,2022-10-01,13.14975643157959,growth,,,,,,,,,,,,,,,,,,,,,,,0.08746581123034325,1.0858724566430955,2.3070260845272794
AAPL,2022-10-01,143.5559844970703,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.14252262814377203,0.13728968222544768,0.1870137227714248
MSFT,2022-10-01,241.83340454101562,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.034654498001551404,0.16003968503849575,0.27136638913976663
AMZN,2022-10-01,121.08999633789062,mega_tech,,,,,,,,,,,,,,,,,,,,,,,-0.2912709365738908,-0.14154760845661296,0.02997774376574669
PYPL,2022-10-01,92.29653930664062,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.19624952014847374,-0.1889211416713481,-0.3824765496848438
SHOP,2022-10-01,31.530000686645508,growth,,,,,,,,,,,,,,,,,,,,,,,0.1316206637536801,0.5093561406975984,0.6295591484042424
PLTR,2022-10-01,8.130000114440918,growth,,,,,,,,,,,,,,,,,,,,,,,-0.21033210505244448,0.03936035551288852,0.968019652494222
ORCL,2022-10-01,62.587371826171875,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.28102255001918697,0.44371296376208447,0.6176653438089235
TSLA,2023-01-01,108.0999984741211,growth,,,,,,,,,,,,,,,,,,,,,,,0.7814986544810907,1.5885292439778067,1.2980573698011337
COIN,2023-01-01,35.38999938964844,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.9092964357210025,1.0217576797327146,3.3509465493966113
HOOD,2023-01-01,8.140000343322754,fintech,,,,,,,,,,,,,,,,,,,,,,,0.1928746472488898,0.22604411809674274,0.46068794125741364
MSTR,2023-01-01,14.501999855041504,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,1.0616467394853326,1.6054337866782706,3.724520760895591
MARA,2023-01-01,3.4000000953674316,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,1.502941173583166,3.5058821367970037,5.744117547649004
GOOG,2023-01-01,88.96956634521484,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.17190635204857996,0.3440355757734115,0.5558530226896057
META,2023-01-01,123.76873779296875,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.7213401340449654,1.2929290812283298,1.7760940652235129
NVDA,2023-01-01,14.299910545349121,growth,,,,,,,,,,,,,,,,,,,,,,,0.9181039395465405,1.96364590771456,2.3663545464506655
AAPL,2023-01-01,123.09600830078125,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.32632034331529325,0.5432997984435779,0.4925856738752632
MSFT,2023-01-01,233.45278930664062,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.20168342074106427,0.41738567417812344,0.5617265383152799
AMZN,2023-01-01,85.81999969482422,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.21125608620237957,0.5173619399180289,0.7470285855154051
PYPL,2023-01-01,74.18338775634766,fintech,,,,,,,,,,,,,,,,,,,,,,,0.009117728276167858,-0.08688668994735871,-0.1759185220342957
SHOP,2023-01-01,35.68000030517578,growth,,,,,,,,,,,,,,,,,,,,,,,0.3338004412988873,0.8175447847379609,1.0692264910195313
PLTR,2023-01-01,6.420000076293945,growth,,,,,,,,,,,,,,,,,,,,,,,0.3161993315961209,1.3878504270292096,1.489096472326065
ORCL,2023-01-01,80.17583465576172,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.12700042925900146,0.41043574213514433,0.261835144560177
TSLA,2023-04-01,192.5800018310547,growth,,,,,,,,,,,,,,,,,,,,,,,0.45300656695235375,0.28014329855272857,-0.13474917801178254
COIN,2023-04-01,67.56999969482422,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.058901929479192594,0.11114403093309067,2.565191578873679
HOOD,2023-04-01,9.710000038146973,fintech,,,,,,,,,,,,,,,,,,,,,,,0.027806333988530163,0.01029870041986225,0.8949536092938755
MSTR,2023-04-01,29.898000717163086,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.26376344539447527,0.041307066471972353,4.2807208448167335
MARA,2023-04-01,8.510000228881836,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.8002349333470202,-0.14218566458322646,1.3184487675188623
GOOG,2023-04-01,104.26399993896484,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.14687967466336938,0.2680746820725839,0.4827814332569569
META,2023-04-01,213.048095703125,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.33206043121773465,0.40154630462559227,1.3188233760578472
NVDA,2023-04-01,27.428714752197266,growth,,,,,,,,,,,,,,,,,,,,,,,0.5450914033444905,0.5854402190292358,2.2594142113936426
AAPL,2023-04-01,163.26473999023438,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.16359505923427142,0.04372152611872582,0.024821682216297658
MSFT,2023-04-01,280.5363464355469,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.17950006608565672,0.09596801345427819,0.47955592614288745
AMZN,2023-04-01,103.94999694824219,mega_tech,,,,,,,,,,,,,,,,,,,,,,,0.25271770123803905,0.1998076467746559,0.7382396127570232
PYPL,2023-04-01,74.85977172851562,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.09513698504487356,-0.2386394442734524,-0.14084510630838498
SHOP,2023-04-01,47.59000015258789,growth,,,,,,,,,,,,,,,,,,,,,,,0.36268119912150554,0.07963859851597932,0.6415213804603015
PLTR,2023-04-01,8.449999809265137,growth,,,,,,,,,,,,,,,,,,,,,,,0.8142012153535474,0.8934911670005656,1.7171597162993777
ORCL,2023-04-01,90.35820007324219,enterprise,,,,,,,,,,,,,,,,,,,,,,,0.25149530161448164,0.12048958789810049,0.3430281599165106
TSLA,2023-07-01,279.82000732421875,growth,,,,,,,,,,,,,,,,,,,,,,,-0.11896936485442144,-0.11221502513539439,-0.17354017420604895
COIN,2023-07-01,71.55000305175781,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,0.049336109416282525,1.1520613439548435,2.126205215029491
HOOD,2023-07-01,9.979999542236328,fintech,,,,,,,,,,,,,,,,,,,,,,,-0.017033981003724108,0.1913828545786116,1.2725452249964357
MSTR,2023-07-01,37.784000396728516,crypto_proxy,,,,,,,,,,,,,,,,,,,,,,,-0.17602691368641765,0.8133336510228475,2.494044987460182
